primary_id,paxdb_ppm
Q93084,54.8
Q8N5K1,54.8
P25205,54.7
P06132,54.7
P62310,54.7
D6W5Y5,54.7
P49821,54.7
Q9NQR4,54.7
P08575,54.7
P48739,54.5
P12955,54.5
Q13242,54.5
O00221,54.5
P18031,54.4
Q08495,54.4
Q9BWJ5,54.4
Q9UHG3,54.3
O14618,54.2
P40121,54.2
O95299,54.1
P10515,54.1
Q92890,54.0
P05413,53.9
Q15582,53.9
P27338,53.8
Q7Z4I7,53.8
Q96DI7,53.8
P42126,53.7
P63096,53.6
Q92619,53.6
Q9Y3D6,53.6
P51970,53.5
A0A2R8Y891,53.5
Q8WW12,53.3
P28161,53.3
A0A1W2PNV4,53.3
P62070,53.2
Q00796,53.2
Q5VWC4,53.2
P61077,53.2
Q02750,53.1
O60841,53.1
Q86SX6,53.1
O95292,53.0
Q9NP79,52.9
Q86U42,52.8
P38919,52.8
P57721,52.7
Q12874,52.7
Q15063,52.6
Q9P258,52.6
Q16795,52.5
P26640,52.4
Q9UJ70,52.3
P39748,52.3
Q96CT7,52.1
P19623,52.0
A0A0C4DG49,51.9
P56192,51.8
Q8NI22,51.8
Q6XQN6,51.7
P16070,51.7
Q9NSD9,51.7
Q96EP5,51.6
Q99426,51.5
Q96KN2,51.4
P31025,51.4
Q9Y617,51.3
P20645,51.3
P80511,51.3
P16930,51.3
Q13637,51.3
P36776,51.3
P09132,51.2
Q9Y6W5,51.1
P27482,51.0
O60884,51.0
Q15459,51.0
P14209,50.9
P02794,50.9
Q6DD88,50.9
Q15126,50.8
Q8NCW5,50.7
P23193,50.7
P62837,50.7
Q8IZ83,50.6
Q05469,50.5
Q9UDW1,50.4
P08579,50.2
Q96M27,50.1
Q3ZCQ8,50.0
Q14696,49.9
Q15393,49.9
Q15417,49.8
Q96HC4,49.7
Q9BWP8,49.6
P62273,49.5
